url,label
en.wikipedia.org/wiki/Blaqk_Audio,0
davidfongs.com/,0
drpeppersnapplegroup.com/brands/7up/,0
dallasnews.com/news/community-news/dallas/headlines/20110403-redrawing-dallas-council-districts-could-become-contentious.ece,0
192.com/atoz/people/davis/bernard/,0
thefreelibrary.com/Erik+Peladeau%2c+Chairman%3b+Serge+Gouin%2c+President+and+Chief+Executive...-a0114175058,0
manta.com/c/mms54fd/vitiello-assoc-dr-anthony,0
askmen.com/celebs/women/singer_60/91_melissa_auf_der_maur.html,0
worldwidescience.org/topicpages/w/webster+engineering+corporation.html,0
commercialutility.com/electric_deregulation.php,0
123people.com/s/richard+berkley,0
http://mashable.com/people/55229c08519840114904cb2a/2015/05/01/nfl-draft-winston-mariota-madden-15,0
winnipegfreepress.com/breakingnews/,0
cac.mcgill.ca/campus/buildings/Morrice_Hall.html,0
amazon.com/Web-Desire-11-Days-Nights/dp/B000EX9FI6,0
thewheelgroup.com/wheel.asp?b=5&p=415,0
web.me.com/dompedler/aeoliancadence.co.uk/Cycle_Of_Fifths_aeolian_cadence_songwriting_secrets_Beatles_Golden_Slumbers_Radio_Stars_Nervous_Wreck_Moon_River_Rod_Stewart.html,0
wowwiki.com/Alliance,0
theworldofjuniorhockey.blogspot.com/2011/05/ice-dogs-crowned-robertson-cup.html,0
nataliesnet.com/mcmanus/muster_rolls.htm,0
pioneer-railcorp.com/Subsidiaries/PRS/prs.htm,0
agoda.com/asia/japan/tokyo/sheraton_miyako_hotel_tokyo.html,0
answers.yahoo.com/question/index?qid=20060620103752AAF1PY6,0
http://hdfcbank.com/personal/ways-to-bank/bank-with-your-phone/mobilebanking?src=NRI_takeover,0
ca.local.yahoo.com/results?stx=videotron&csz=St-%C3%A9mile%2C%20QC,0
infoeletro.net/net/Internet_Banking/BRADESCO/Login.php,0
findsteakrestaurants.com/albany_ga/texas-star-steakhouse/7831,0
austinist.com/2007/02/01/austinist_interviews_sxsw_the_besnard_lakes.php,0
youtube.com/watch?v=7eRf9Rlnuns,0
https://medium.com/backchannel/facebook-published-a-big-new-study-on-the-filter-bubble-here-s-what-it-says-ef31a292da95,0
linkedin.com/pub/james-clench/10/78/617,0
imdb.com/name/nm0217935/,0
uscourts.gov/EducationalResources/ClassroomActivities/RealLifeScenarios/TextingWhileDriving/DifferencesBetweenOpeningAndClosingArgs.aspx,0
boards.ancestry.com/surnames.beamon/10/mb.ashx,0
wn.com/Canal_Indigo,0
zimbio.com/Pierre+Gauthier,0
l-fonseca.com/,0
zionhartland.org/,0
mylife.com/c-2439478003,0
wn.com/Angela_Chang,0
trulia.com/property/3044131857-7515-Don-Budge-Ave-Baton-Rouge-LA-70810,0
booking.com/hotel/ae/mount-royal.en.html,0
companydatabase.org/c/automobile-dealers-new-cars/new-chevrolet/cadillac-dealer/joe-bowman-auto-plaza.html,0
valeriejodoinkeaton.com/,0
cbs.com/primetime/hawaii_five_0/recaps/101/recaps.php,0
dentists.healthprofs.com/cam/county/WA/King.html,0
petwig.biz/zp1xhfgTclyedu973999/Trf5nvzulb13897mcNdxDE41295/sdr01/aW5mb0BtdWVsbGVyLWJpa2VzLmRl,0
www296.paypal.ca.90658.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP296,0
noiroftheweek.com/2009/01/devil-thumbs-ride-1947.html,0
http://torcache.net/torrent/F44CE14715BDD51D0EC82E7BB45525F51EE8A070.torrent?title=[kickass.to]kingsman.the.secret.service.2014.cam.xvid.ac3.hq.hive.cm8,0
jennifergrantphoto.com/,0
lp.ru/en/people/belenkov-roman/,0
downtownoceanside.com/,0
jpopcentral.yuku.com/topic/340/ARASHI-New-DVD-10-11-TOUR-Scene-Kimi--Miteiru-Fukei-DOME-6-1,0
myspace.com/phedro,0
firstgenfirebird.org/firebird/1968/sales_manual/M-3.html,0
health.nih.gov/,0
manta.com/c/mmylkwt/harrys-oilfield-weed-control,0
en-gb.facebook.com/claireodono,0
berlinpainting.com/,0
